District IRN,District Name,County,Region,Achievement Component Star Rating,Performance Index Percent 2023-2024,Performance Index Score 2023-2024,Maximum District Performance Index Score 2023-2024,Percent of Students Not Tested,Percent of Students Limited,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accomplished,Percent of Students Advanced,Percent of Students Advanced Plus,Performance Index Score 2022-2023,Performance Index Score 2021-2022,Number of General Education Teachers FTE,Expenditures per Equivalent Pupil - State and Local Funds
048140,Columbia Local,Lorain,Region 2,4  Stars,84.7,92.5,109.3,0.1,11.6,15.6,27.8,22.4,19.7,2.7,92.9,94.2,53.3,"   $12,302"
048157,Firelands Local,Lorain,Region 2,4  Stars,84.2,91.9,109.3,0.3,12.8,14.5,27.6,21.6,22.2,1.1,90.9,89.8,82.3,"   $10,584"
048165,Keystone Local,Lorain,Region 2,4  Stars,81.4,89.0,109.3,0.7,13.8,16.8,28.8,21.2,17.3,1.4,88.2,89.5,61,"    $9,674"
048173,Midview Local,Lorain,Region 2,4  Stars,82.8,90.4,109.3,0.9,13.4,15.0,27.4,22.0,19.1,2.3,89.9,88.2,132.6,"   $11,251"
048207,Anthony Wayne Local,Lucas,Region 1,5  Stars,94.6,103.4,109.3,0.2,5.7,7.9,21.6,25.4,35.7,3.5,102.2,99.5,162.3,"   $11,248"
048215,Ottawa Hills Local,Lucas,Region 1,5  Stars,99.1,108.3,109.3,0.2,3.2,4.8,16.4,25.9,48.2,1.3,106.1,105.3,59.3,"   $14,899"
048223,Springfield Local,Lucas,Region 1,3  Stars,71.9,78.5,109.3,1.3,24.0,19.4,25.3,17.0,12.3,0.7,81.9,79.2,172.5,"   $11,316"
048231,Washington Local,Lucas,Region 1,2  Stars,67.7,74.0,109.3,0.4,29.1,21.8,24.4,14.3,9.6,0.4,71.6,73.7,273,"   $10,125"
048256,Jefferson Local,Madison,Region 11,3  Stars,77.8,85.1,109.3,0.2,15.6,20.7,30.9,20.8,11.8,0.0,85.6,82.3,53.8,"   $14,747"
048264,Jonathan Alder Local,Madison,Region 11,4  Stars,86.2,94.2,109.3,0.4,12.2,12.4,25.4,22.1,24.8,2.8,93.5,92.4,93.5,"   $10,652"
048272,Madison-Plains Local,Madison,Region 11,4  Stars,81.0,88.5,109.3,0.1,14.1,17.5,29.6,22.2,16.4,0.0,88.3,88.0,54.8,"   $12,222"
048298,Austintown Local Schools,Mahoning,Region 5,4  Stars,80.7,88.1,109.3,0.5,16.0,16.6,25.3,19.7,21.0,1.0,89.7,90.3,197.4,"    $9,222"
048306,Boardman Local,Mahoning,Region 5,4  Stars,85.6,93.6,109.3,0.4,11.2,13.6,27.0,23.6,23.1,1.0,92.2,90.6,189.7,"   $10,520"
048314,Canfield Local,Mahoning,Region 5,5  Stars,95.4,104.2,109.3,0.0,5.1,7.6,21.5,26.8,36.1,3.0,104.3,102.8,125,"   $10,670"
048322,Jackson-Milton Local,Mahoning,Region 5,4  Stars,86.3,94.3,109.3,0.2,9.5,15.1,26.4,26.1,22.6,0.2,94.8,92.9,44,"   $11,404"
